//嗎齪傯婖饜离桶跡,,,,,,,,,
id(脹撰),汜韜樓傖,滅郘樓傖,汜韜閥葩,秏瘧億啟,桯尨悗梒id,跤迵悗梒靡備,妏蚚億啟id,秏瘧第蹋id,秏瘧第蹋杅講
0,0,0,0,0,0,,0,0,0
1,1,1,50,10000,30082,嗎齪﹞1論,2,0,0
2,2,2,100,20000,30083,嗎齪﹞2論,2,0,0
3,3,3,150,30000,30084,嗎齪﹞3論,2,0,0
4,4,4,200,40000,30085,嗎齪﹞4論,2,0,0
5,5,5,250,50000,30086,嗎齪﹞5論,2,0,0
6,6,6,300,100000,30087,嗎齪﹞6論,2,0,0
7,7,7,350,200000,30088,嗎齪﹞7論,2,0,0
8,8,8,400,300000,30089,嗎齪﹞8論,2,0,0
9,9,9,450,400000,30090,嗎齪﹞9論,2,0,0
10,10,10,500,500000,30091,嗎齪﹞10論,2,0,0
11,11,11,550,1000000,30092,嗎齪﹞11論,2,2650,10
12,12,12,600,2000000,30093,嗎齪﹞12論,2,2650,20
13,13,13,650,3000000,30094,嗎齪﹞13論,2,2650,30
14,14,14,700,4000000,30095,嗎齪﹞14論,2,2650,40
15,15,15,750,5000000,30096,嗎齪﹞15論,2,2650,50
16,16,16,800,6000000,30097,嗎齪﹞16論,2,2650,60
17,17,17,850,7000000,30098,嗎齪﹞17論,2,2650,70
18,18,18,900,8000000,30099,嗎齪﹞18論,2,2650,80
19,19,19,950,9000000,30100,嗎齪﹞19論,2,2650,90
20,20,20,1000,10000000,30101,嗎齪﹞20論,2,2650,100
21,21,21,1050,11000000,30102,嗎齪﹞21論,2,2650,200
22,22,22,1100,12000000,30103,嗎齪﹞22論,2,2650,300
23,23,23,1150,13000000,30104,嗎齪﹞23論,2,2650,400
24,24,24,1200,14000000,30105,嗎齪﹞24論,2,2650,500
25,25,25,1250,15000000,30106,嗎齪﹞25論,2,2650,600
26,26,26,1300,16000000,30107,嗎齪﹞26論,2,2650,700
27,27,27,1350,17000000,30108,嗎齪﹞27論,2,2650,800
28,28,28,1400,18000000,30109,嗎齪﹞28論,2,2650,900
29,29,29,1450,19000000,30110,嗎齪﹞29論,2,2650,1000
30,30,30,1500,20000000,30111,嗎齪﹞30論,2,2650,1100
31,31,31,1550,21000000,30112,嗎齪﹞31論,2,2650,1200
32,32,32,1600,22000000,30113,嗎齪﹞32論,2,2650,1300
33,33,33,1650,23000000,30114,嗎齪﹞33論,2,2650,1400
34,34,34,1700,24000000,30115,嗎齪﹞34論,2,2650,1500
35,35,35,1750,25000000,30116,嗎齪﹞35論,2,2650,1600
36,36,36,1800,26000000,30117,嗎齪﹞36論,2,2650,1700
37,37,37,1850,27000000,30118,嗎齪﹞37論,2,2650,1800
38,38,38,1900,28000000,30119,嗎齪﹞38論,2,2650,1900
39,39,39,1950,29000000,30120,嗎齪﹞39論,2,2650,2000
40,40,40,2000,30000000,30121,嗎齪﹞40論,2,2650,2100
